lng,lat
19.32015,48.14262
20.45618,39.45834
14.16577,50.15196
14.15090,45.66776
-2.93232,42.47073
126.82608,34.42426
128.04360,35.69104
134.64068,34.89130
8.28002,49.53906
16.45059,39.78601
134.96617,34.77551
12.03017,53.48452
138.47038,-35.12371
-5.75916,41.36507
-73.19521,40.76273
0.83818,41.54711
-122.79426,45.07297
-5.77380,41.66006
-1.72833,38.09017
140.99274,37.48024
21.22102,48.73383
36.64250,32.24194
-4.70131,37.13682
11.68205,48.33532
12.64175,37.99676
-1.30854,37.87776
-1.69084,42.00612
12.24713,43.12749
-3.32898,39.15451
12.83517,48.77406
22.47857,39.71056
145.23281,-36.40734
-71.73878,42.23522
-120.41720,37.36872
10.99930,51.01945
6.91109,51.51420
21.44872,38.72738
19.53996,53.48319
109.00101,11.42917
-74.44817,39.38049
-1.49002,42.03085
9.31796,51.16451
-5.96447,38.24577
21.96685,39.56197
-5.62836,40.91210
-1.59631,42.32610
-4.28942,40.99050
99.86282,12.26291
22.46856,40.18859
23.77769,40.91299
-1.08644,50.88384
9.33664,50.66415
107.89506,12.67853
12.15370,49.61167
12.78916,45.56641
126.84829,36.14803
12.83750,48.79178
-71.93741,42.13546
11.99654,57.49043
22.70851,36.89111
2.87150,42.71892
12.08361,44.49200
139.39299,36.30750
-4.96914,38.38011
7.95407,45.26126
8.77860,44.84150
17.85647,51.63399
24.85777,41.06288
10.32983,50.77232
-6.42672,39.58588
13.15746,45.78589
1.09651,42.03957
-0.06242,41.85623
5.29147,45.86647
-3.13354,37.26398
-117.30119,33.21098
22.61220,40.97943
-4.48002,40.87716
13.94925,42.63521
129.06887,36.56313
-5.17329,37.52720
107.82979,14.21468
20.86469,39.11955
15.43905,40.65481
-4.58084,37.64150
-1.26182,54.62468
120.59385,22.37719
22.64043,38.75536
135.51521,35.02871
128.61861,36.41399
4.22014,50.45394
10.06329,49.06455
-5.69739,38.24141
-1.56972,41.99230
-121.86099,37.26871
101.88884,36.69968
-5.58243,39.08680
11.97571,49.28358
-118.22903,34.69683
6.97315,52.81996
11.55371,44.68019
126.75260,35.58761
-5.66249,37.51780
-1.25145,40.48479
-3.53664,37.91802
27.88387,35.98938
135.64087,34.58532
128.42096,35.85432
137.29615,34.67951
26.15366,44.39519
10.87184,49.67838
9.64123,48.38524
128.16860,36.52204
127.55762,35.89412
10.80538,47.93146
81.01702,8.03375
13.38099,43.24690
28.65019,44.34987
-6.10228,42.43858
11.86149,44.48519
-76.18562,42.11592
12.78548,48.77403
14.52462,36.80597
140.87768,37.36429
-3.28990,42.01083
21.33809,38.63115
0.41066,51.17265
6.05517,52.18848
19.93469,-33.40948
-2.65726,51.51290
-73.27410,44.39167
8.75024,50.76939
-5.78198,41.05819
-3.91953,50.31859
22.51507,36.66986
12.81682,43.45725
127.93203,35.30649
12.93532,45.97211
-75.02037,39.45463
137.22266,36.11704
18.86949,53.01976
-3.09352,39.62971
12.44257,41.93013
21.12047,38.81547
-72.64677,41.84142
